id,area,capability,ui_surface,legacy_guide,coverage,gaps,priority,since_v040,media,evidence,destination,reviewer,workstream
start.product-overview,start-here,"What PureCut CNC is and which devices it supports (web, desktop, tablet; phones blocked)",Landing; phone blocker screen,index#intro,accurate,,release-critical,no,none,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; PROJECT.md (Supported product surfaces); src/components/UnsupportedMobileScreen.tsx; i18n:shell.mobileBlocker.*,/guide/,shell/UI,W1
start.install-and-open,start-here,"Getting the app: web (stable /app, preview /app-rc) vs desktop builds; system requirements (WebGL2, OS versions)",Downloads page; web app URLs,index#intro,accurate,,release-critical,no,screenshot: downloads page; none in app,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/viewport3d/webglRenderer.ts; i18n:viewport.view3d.webglUnavailableBody; downloads.html,/guide/start-here/install-and-open/,desktop/platform,W1
start.desktop-updates,start-here,Desktop Check for Updates… and Update Channel (Stable / Snapshot),Desktop native app menu,index#intro,accurate,,release-critical,no,screenshot: macOS app menu with update channel submenu,"app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src-tauri/src/lib.rs (check_updates, update_channel); src/utils/updateCheck.ts; src/utils/updateCheck.test.ts; src/platform/useDesktopIntegration.ts; PureCutCNC/purecutcnc#799",/guide/start-here/install-and-open/#desktop-updates,desktop/platform,W1
start.quickstart,start-here,Quick Start: first project from blank template to exported G-code,Whole app,quickstart#step-project;quickstart#step-rect;quickstart#step-circle;quickstart#step-tool;quickstart#step-operation;quickstart#step-preview;quickstart#step-export,accurate,,release-critical,changed,screenshots: re-shoot all 10 from a deterministic fixture,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/project/NewProjectDialog.tsx; src/components/cam/OperationAddMenu.tsx; src/components/export/ExportDialog.tsx; public/tool-library.json; e2e/camOperations.smoke.spec.ts; e2e/gcodeExport.smoke.spec.ts,/quickstart/,shell/UI,W1
start.safety,start-here,"CNC safety: preview and simulation are aids, not guarantees; verify G-code; dry run; the app never invents feeds or speeds",Export dialog; warnings,quickstart#step-export;cam-export#export-dialog;post-processor-converter#after,accurate,,release-critical,no,none,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; PROJECT.md (CNC safety contract); src/engine/toolpaths/warningCodes.ts,/guide/start-here/safety/,CAM toolpaths,W1
start.privacy,start-here,"Local data, no account; web-only page analytics (GoatCounter); user-initiated update check",Web app; desktop menu,index#intro,accurate,,reference,no,none,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/utils/analytics.ts; src/utils/updateCheck.ts,/guide/reference/privacy-and-data/,desktop/platform,W1
start.workflow-overview,start-here,Typical workflow from project to G-code,Whole app,index#workflow;index#guide-sections,accurate,,release-critical,changed,diagram: workflow overview,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; README.md; src/engine/operations/camPlan/INDEX.md; src/import/INDEX.md,/guide/,shell/UI,W1
fund.workspace-layout,fundamentals,"Workspace layout: top bar, tool rail, project panel, CAM panel, workspace tabs, pull-out panel handles",App shell,interface#layout,accurate,,release-critical,no,screenshot: full workspace with callouts,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; src/components/layout/AppShell.tsx; e2e/panelHandles.smoke.spec.ts,/guide/fundamentals/workspace/,shell/UI,W1
fund.working-views,fundamentals,"Sketch, 3D view and Simulation tabs and when to use each",Workspace tabs (Sketch / 3D / Sim),interface#views;view-sketch#sketch-overview;view-sketch#sketch-workflow,accurate,,release-critical,no,screenshot: each tab,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; i18n:shell.topBar.tabSketch; i18n:appShell.workspace.*; e2e/viewportViews.smoke.spec.ts,/guide/fundamentals/workspace/#views,shell/UI,W1
fund.sketch-overlays,fundamentals,"What the Sketch view shows: stock size and origin axis labels, feature colours and legend, out-of-stock border, clamp-collision moves",Sketch canvas; feature colour legend,view-sketch#sketch-overlays,accurate,,release-critical,no,screenshot: annotated sketch view,app:b6d185643e41d11dd76244b1d3e7b50213cbbdbc; i18n:canvas.legend.*; i18n:canvas.warning.exceedsStock; src/components/canvas/SketchCanvas.tsx,/guide/fundamentals/workspace/#sketch-overlays,sketch,W1
