legacy_page,anchor,heading,words,screenshots,assessment,disposition,destination,workstream,capabilities,notes
guide/appearance,appearance-modes,Appearance Modes,91,appearance-menu.png,accurate,migrate,/guide/reference/themes/,W1,ref.themes,
guide/appearance,theme-manager,Theme Manager,158,theme-manager.png,accurate,migrate,/guide/reference/themes/#manager,W1,ref.themes,
guide/appearance,custom-theme-editor,Custom Theme Editor,280,theme-editor.png,incomplete,migrate,/guide/reference/themes/#editor,W1,ref.themes,Readability checks can block Apply.
guide/appearance,where-themes-apply,Where Themes Apply,75,,incomplete,rewrite,/guide/reference/themes/#scope,W1,ref.themes,Drop the palette-migration note.
guide/cam-debug-view,why-a-debug-view,Why a Separate Inspector,83,,accurate,migrate,/guide/verify-export/exported-motion/,W5,verify.exported-motion;verify.linear-optimizer,
guide/cam-debug-view,opening-the-inspector,Opening the Inspector,115,,stale,rewrite,/guide/verify-export/exported-motion/#opening,W5,verify.exported-motion,Debug toolpath is dev-only; eligibility is a single planar operation.
guide/cam-debug-view,motion-layers,Motion Layers,171,cam-debug-view-overlay.png,accurate,migrate,/guide/verify-export/exported-motion/#layers,W5,verify.exported-motion,
guide/cam-debug-view,move-counts,Move Counts,91,,accurate,migrate,/guide/verify-export/exported-motion/#counts,W5,verify.exported-motion,
guide/cam-debug-view,verification,Verification,98,,accurate,migrate,/guide/verify-export/exported-motion/#verification,W5,verify.exported-motion,
guide/cam-debug-view,arc-fitting-per-operation,Arc Fitting Per Operation,135,,accurate,migrate,/guide/verify-export/exported-motion/#arc-fitting,W5,verify.arc-fitting,Name the Output group.
guide/cam-export,machine-selection,Machine Selection,125,,stale,rewrite,/guide/cam-setup/machines/,W3,cam.machine-selection,Add machine flow replaced by Manage machines.
guide/cam-export,clearances,Clearance Settings,71,,accurate,migrate,/guide/cam-setup/clamps-and-clearances/#clearances,W3,cam.clearances,
guide/cam-export,export-dialog,Export Dialog,97,cam-export-dialog.png,stale,rewrite,/guide/verify-export/gcode-export/,W5,start.safety;verify.gcode-export,"Checklist, options and messages."
